Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Dec 11 2020,GOOG201211C01775000,9.5,-6.55,4,8.1,185,0.02,1,0.0456,49,1775.00,GOOG201211P01775000,10.1999998092651,-10.15,0,0.15,264,0.4471,-0.2411,0.0423,257
Fri Dec 11 2020,GOOG201211C01777500,8.14999985694885,-5.35,1,5,180,0.02,1,0.0916,18,1777.50,GOOG201211P01777500,11.2999997138977,-10.8,0,0.75,45,0.5324,-0.3592,0.0426,53
Fri Dec 11 2020,GOOG201211C01780000,7.04999995231628,-6.75,0.05,3.1,997,0.02,1,0.1108,198,1780.00,GOOG201211P01780000,12.6999998092651,-12.6,0,2,229,0.4908,-0.4937,0.0493,217
Fri Dec 11 2020,GOOG201211C01782500,6,-5.95,0,0.4,155,0.1511,0.1983,0.1118,41,1782.50,GOOG201211P01782500,14.3000001907349,-12.6,0.05,2.75,19,0.6387,-0.5689,0.0373,37
Fri Dec 11 2020,GOOG201211C01785000,5.20000004768372,-5.1,0,0.25,221,0.2026,0.0958,0.0509,83,1785.00,GOOG201211P01785000,15.9500002861023,-11.95,2,5.3,35,0.74,-0.6446,0.0305,82
Fri Dec 11 2020,GOOG201211C01787500,4.29999995231628,-4.25,0,0.05,95,0.3051,0.037,0.0161,26,1787.50,GOOG201211P01787500,17.6999998092651,-13.15,4.5,7.8,34,0.8609,-0.689,0.0249,82
Fri Dec 18 2020,GOOG201218C01770000,30.1000003814697,2.9,32.5,35.3,92,0.2549,0.5813,0.0062,151,1770.00,GOOG201218P01770000,25.7000007629395,-1.68,21,23.5,74,0.2961,-0.4278,0.0054,387
Fri Dec 18 2020,GOOG201218C01775000,27.25,1.85,27,31,293,0.2504,0.5495,0.0064,49,1775.00,GOOG201218P01775000,27.75,-3.15,23,24.4,170,0.2913,-0.4553,0.0055,330
Fri Dec 18 2020,GOOG201218C01780000,24.6000003814697,2.15,25.8,27.6,259,0.2533,0.5125,0.0064,189,1780.00,GOOG201218P01780000,30,-3.5,24.4,26.4,76,0.2884,-0.4849,0.0056,80
Fri Dec 18 2020,GOOG201218C01785000,22.1999998092651,1.2,22.2,26.8,54,0.2493,0.4835,0.0065,49,1785.00,GOOG201218P01785000,32.75,-0.58,26.9,30.8,33,0.2912,-0.512,0.0055,48
Fri Dec 18 2020,GOOG201218C01790000,19.9499998092651,0.15,19.6,24.1,35,0.2485,0.4512,0.0064,90,1790.00,GOOG201218P01790000,35.5,-2.49,29.3,33.2,17,0.2901,-0.5397,0.0055,37
Fri Dec 18 2020,GOOG201218C01795000,17.8000001907349,0.2,17.4,21.2,21,0.246,0.4184,0.0064,57,1795.00,GOOG201218P01795000,38.5,-2.26,32,36.3,53,0.2925,-0.5642,0.0054,34
Thu Dec 24 2020,GOOG201224C01775000,35.5499992370606,0.85,36.2,40,37,0.2521,0.5378,0.0047,35,1775.00,GOOG201224P01775000,35.6000003814697,-0.8,30.9,34.2,113,0.2805,-0.463,0.0042,15
Thu Dec 24 2020,GOOG201224C01777500,34.1999988555908,1.71,35.1,40.3,12,0.2542,0.5243,0.0047,11,1777.50,GOOG201224P01777500,36.8999996185303,0.57,32.1,35.9,4,0.2786,-0.4733,0.0042,19
Thu Dec 24 2020,GOOG201224C01780000,32.75,2.65,33.7,37.1,26,0.2501,0.5162,0.0047,39,1780.00,GOOG201224P01780000,38.0999984741211,0.52,31.4,36.5,17,0.2777,-0.485,0.0043,29
Thu Dec 24 2020,GOOG201224C01782500,31.6000003814697,3.4,32,36,13,0.2515,0.5025,0.0047,16,1782.50,GOOG201224P01782500,39.3999996185303,-0.1,34.5,38.7,8,0.2791,-0.4946,0.0042,1
Thu Dec 24 2020,GOOG201224C01785000,30.3000001907349,1.72,31.4,36.2,3,0.2508,0.49,0.0047,20,1785.00,GOOG201224P01785000,40.75,1.85,33.7,40.1,2,0.2763,-0.5074,0.0043,27
Thu Dec 24 2020,GOOG201224C01787500,29.3500003814697,-1.65,29.5,33.7,3,0.2493,0.4796,0.0047,33,1787.50,GOOG201224P01787500,42.2000007629394,0,36.9,40.4,0,0.2778,-0.5171,0.0043,5
Thu Dec 31 2020,GOOG201231C01775000,43.5,1.8,43.7,48.8,6,0.2503,0.5378,0.0038,19,1775.00,GOOG201231P01775000,42.75,6.35,37.2,42.7,1,0.2709,-0.4653,0.0035,17
